WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
BLUE RIDGE LAKE,Georgia,Reservoir,34.863148,-84.266759,0.515,13.44,18.4,3,3.077777778,0.3345,0.011883333,21.405,2.669827562,11
LAKE HARDING,Georgia,Reservoir,32.7046666,-85.123389,0.1905,23.67,9.400000009,3,7.438461538,1.028333333,0.115383332,22.90571429,0.824524726,43
BURTON LAKE,Georgia,Reservoir,34.83481467,-83.544352,0.6764,11.23,11.89999999,3,2.733333333,0.336444444,0.008088889,22.04210526,3.457229137,21
HIGH FALLS LAKE,Georgia,Reservoir,33.18907367,-84.026667,0.178,2.43,3.699999999,3,15.075,0.878928571,0.047678568,22.38666667,1.030113171,55
AMERICAN FALLS RESERVOIR,Idaho,Reservoir,42.8877222,-112.780111,1.328,277.03,9.199999993,3,15.37857143,0.6342,0.125599996,17.07894737,0.919481839,23
CASCADE LAKE,Idaho,Reservoir,44.5789444,-116.0912778,1.472,107.24,8.100000002,3,8.080666667,0.343965517,0.038586207,15.9475,2.157310981,17
LAKE COEUR D'ALENE,Idaho,Lake,47.52034725,-116.7894445,0.8682,129.5,2.3,3,10.39130435,1.544856115,0.295453237,14.31964286,3.039171296,22
DWORSHAK RESERVOIR,Idaho,Reservoir,46.6012778,-116.1961668,0.5824,76.89,55.49999998,3,2.42,0.255929204,0.011539823,13.78028571,2.492591652,12
HAUSER,Idaho,Lake,47.7775,-117.0145835,0.667,2.43,1.2,4,11.1125,0.473125,0.06771875,16.55789474,3.39634965,22
HAYDEN LAKE,Idaho,Lake,47.776574,-116.7094443,0.7303,17,7.299999998,3,2.7875,0.270344828,0.020258621,16.23125,6.51511303,11
ISLAND PARK RESERVOIR,Idaho,Reservoir,44.41388867,-111.4680557,1.922,31.54,4.999999996,3,9.322222222,0.319142857,0.05,14.515,2.748849942,10
LAKE LOWELL,Idaho,Reservoir,43.557963,-116.6689817,0.768,39.8,5.900000005,2,25.38888889,0.7371875,0.078437494,13.20592593,0.581378941,19
MAGIC RESERVOIR,Idaho,Reservoir,43.28472233,-114.375185,1.463,15.8,15,3,7.322222222,0.567307692,0.066211535,16.45,2.520955042,9
PALISADES RESERVOIR,Wyoming,Reservoir,43.2495,-111.1229444,1.7137,61.31,28.19999998,3,2.066666667,0.273522727,0.028761364,17.00571429,3.926122138,13
LOWER PAYETTE,Idaho,Lake,44.948148,-116.080741,1.52,21.6,5.700000004,3,4.6,0.26516129,0.022435484,12.38846154,6.756413513,9
LOWER TWIN LAKES,Idaho,Reservoir,47.87675933,-116.871574,0.768,16.35,2.3,4,2.318181818,0.376666667,0.032948718,16.32413793,3.302006604,18
UPPER TWIN LAKES,Idaho,Reservoir,47.8893055,-116.91,0.704,16.35,2.3,4,4.985714286,0.42,0.019681814,14.88181818,3.323778076,42
LAKE BLOOMINGTON,Illinois,Reservoir,40.654583,-88.927778,0.219,1.97,4.999999996,3,26.2,5.902,0.063799996,21.58095238,0.897468462,28
LAKE CARLYLE,Illinois,Reservoir,38.67231467,-89.307593,0.135,105.22,2.699999999,3,17.36666667,2.047575758,0.088363621,21.30384615,0.561623345,41
