WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
OCCOQUAN RESERVOIR,Virginia,Reservoir,38.71287033,-77.332963,0.036,6.88,4.9,3,12.41666667,1.1865,0.119599993,20.852,1.022352045,29
SMITH MOUNTAIN LAKE,Virginia,Reservoir,37.0882222,-79.6352222,0.2617,80.94,35.09999996,3,11.59333333,0.823333333,0.030307018,20.28292683,2.040470748,32
LAKE CHESDIN,Virginia,Reservoir,37.24416667,-77.589074,0.0457,12.95,7,3,12.55555556,0.8571875,0.045406244,21.6047619,0.869246183,35
CHICKAHOMINY LAKE,Virginia,Reservoir,37.3934725,-76.9219445,0.001,6.07,4.9,2,13.6,0.748333333,0.068166617,18.38571429,1.134535602,44
RIVANNA (SOUTH FORK) RESERVOIR,Virginia,Reservoir,38.10824067,-78.49009267,0.1294,1.82,6.1,2,6.666666667,0.80625,0.087531238,20.52083333,1.010357576,18
AMERICAN LAKE,Washington,Lake,47.12425933,-122.5676853,0.071,4.7,15.40000001,3,4.822222222,0.530227273,0.047045455,14.30909091,3.987807976,24
BANKS LAKE,Washington,Reservoir,47.8357778,-119.1795556,0.479,100.77,12.4,3,7.373333333,0.246944444,0.029611111,15.20789474,3.440860215,18
DIAMOND LAKE,Washington,Lake,48.128611,-117.189306,0.714,3.07,8.100000002,4,14.5375,0.661034483,0.03062069,16.32777778,4.98687664,50
GREEN LAKE,Washington,Lake,47.7190275,-122.3394445,0.119,1.04,3.800000003,3,2.983333333,0.427333333,0.0324,13.12857143,2.159004318,22
KEECHELUS LAKE,Washington,Reservoir,47.35,-121.364815,0.768,10.36,18.70000002,3,1.4,0.251914894,0.007468085,13.14347826,5.581661163,6
MAYFIELD LAKE,Washington,Reservoir,46.53490733,-122.546389,0.188,8.9,17.60000001,3,4.25,0.320588235,0.016588235,9.08952381,2.489204978,6
MEDICAL LAKE,Washington,Lake,47.5706945,-117.6877775,0.73,0.64,9.699999994,4,16.425,3.270282258,0.38446875,15.49090909,2.496462136,18
MOSES LAKE,Washington,Reservoir,47.1160554,-119.3208332,0.325,27.58,5.900000005,3,29.06,1.264791667,0.200479158,16.92125,0.924561849,41
OZETTE LAKE,Washington,Lake,48.09648167,-124.6382407,0.009,29.54,39.60000001,3,1.225,0.297166667,0.012483333,11.44615385,2.455338244,15
SAMMAMISH LAKE,Washington,Lake,47.607361,-122.0861113,0.009,19.82,17.69999999,3,7.29,0.553269231,0.020288462,14.90833333,3.200406401,20
WHATCOM LAKE,Washington,Lake,48.73430575,-122.3601388,0.1643,20.25,1.8,3,3.422222222,0.485614035,0.009578947,12.55,5.38481077,12
LOWER GRANITE RESERVOIR,Washington,Reservoir,46.4864815,-117.1676388,0.7237,36.42,13.7,2,4.958333333,0.385,0.033625,17.23666667,1.88422195,26
BLUESTONE RESERVOIR,West Virginia,Reservoir,37.53833325,-80.864028,0.645,8.25,5.800000006,2,14.9,1.480769231,0.072884592,21.12857143,0.668021336,25
LAKE LYNN RESERVOIR,West Virginia,Reservoir,39.694537,-79.87259267,0.271,7,12.80000001,3,4.733333333,0.7872,0.00858,21.5,2.458160472,8
SUMMERSVILLE RESERVOIR,West Virginia,Reservoir,38.246389,-80.86048625,0.505,11.02,21.00000001,3,6.241666667,0.875373134,0.012164179,20.225,3.4590251,12
TYGART RESERVOIR,West Virginia,Reservoir,39.28398133,-80.0025,0.4193,7.08,17.39999999,3,1.177777778,0.640169492,0.008661017,21.90434783,3.08187283,15
BIG SANDY RESERVOIR,Wyoming,Reservoir,42.26125,-109.4395835,2.0615,8.34,5.800000006,3,4.383333333,0.4644,0.090359984,10.22222222,0.313267293,7
BOULDER LAKE,Wyoming,Lake,42.8475,-109.6564817,2.223,7.03,12.20000001,2,2.483333333,0.287083333,0.032125,12.88,3.510287021,7
BOYSEN RESERVOIR,Wyoming,Reservoir,43.2976666,-108.1921112,1.441,89.84,10.39999999,3,6.264285714,0.446181818,0.043872727,15.9,0.865555577,19
LAKE DE SMET,Wyoming,Reservoir,44.471389,-106.746528,1.393,10.74,12.80000001,3,11.16666667,0.542222222,0.036296293,13.58235294,2.311404623,17
FLAMING GORGE RESERVOIR,Wyoming,Reservoir,41.12858033,-109.532284,1.842,137.67,33.89999998,3,5.611111111,0.893466667,0.020986667,16.46140351,3.391883707,16
FREMONT LAKE,Wyoming,Lake,42.966111,-109.8,2.262,20.23,24.39999998,2,3.783333333,0.248108108,0.006243243,13.66153846,13.25882652,7
GLENDO RESERVOIR,Wyoming,Reservoir,42.55484129,-104.9934524,1.4272,53.97,18.30000001,2,8.472727273,0.720526316,0.057631576,13.16666667,1.036783892,11
KEY HOLE RESERVOIR,Wyoming,Reservoir,44.36562525,-104.8092363,1.2807,38.02,6.500000005,3,7.791666667,0.625869565,0.033630435,15.05151515,1.153585641,14
OCEAN LAKE,Wyoming,Lake,43.190556,-108.611389,1.596,24.68,4.199999996,3,7.5,0.85,0.0437,14.44285714,0.550334434,23
SEMINOLE RESERVOIR,Wyoming,Reservoir,42.054111,-107.033111,2.0154,48.77,25.59999998,3,2.535714286,0.511025641,0.043820513,12.59047619,1.346202692,11
VIVA NAUGHTON RESERVOIR,Wyoming,Reservoir,41.98675933,-110.6632407,2.208,5.9,8.900000007,3,25.06666667,0.469210526,0.074894737,12.828,1.778003556,10
WOODRUFF NARROWS RESERVOIR,Wyoming,Reservoir,41.4919445,-111.016111,1.967,7.08,4.9,4,12.95,0.5715625,0.071687488,13,0.762001524,16
YELLOWTAIL RESERVOIR,Wyoming,Reservoir,45.11226186,-108.129365,1.3864,51.34,26.8,3,5.40952381,0.573816794,0.048438461,15.57,3.441706883,26
