"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"072","MONTANA","CANYON FERRY RESERVOIR","BROADHATERo LEWIS s CLARK","3001","IMPOUNDMENT","41191.3","142.45","17.4","155.493","186","127","235","1.4","0.047","0.029","0.17","0.44","1305",NA,"105","327900","329310","4485",NA,"3900","4178515",NA,"183030","44","2.31","3857500","8","29.4"
"073","MONTANA","CLARK CANYON RESERVOIR","BEAVERHEAD","3002","IMPOUNDMENT","11.4","19.97","15","10.1","1","204","305","2","0.049","0.027","0.1","0.55",NA,NA,"5","19935","19940",NA,NA,"140","404050",NA,"11775","41","1","311590","23","20.3"
"074","MONTANA","FLATHEAD LAKE","ELATHEAD LAKE","3003","NATURAL","18854.2","475.6","13.5","331.73","225",NA,"121","5.9","0.008","0.004","0.05","0.23","26290",NA,"465","146700","173455","73020",NA,"17540","6342010","6433370","114370","34","0.36","5510465","14","13.5"
"075","MONTANA","GEORGETURN LAKE","DEER LODGE GRANITE","3004","IMPOUNDMENT","137.3","11.2","3.4","1.297","342","101","162","3.4","0.022","0.011","0.04","0.42",NA,NA,"55","125","780",NA,NA,"2125","33970","36095","1230",NA,"0.07","37545",NA,"3.2"
"076","MONTANA",NA,"GALLATIN","3005","IMPOUNDMENT","2400.7","51.27","0.2","20.053","172","76","179","3.4","0.022","0.02","0.04","0.22",NA,NA,"55","24120","24175",NA,NA,"1905","61015",NA,"20550","15","0.47","91505",NA,"12.9"
"077","MONTANA","KOOCANUSA RESERVOIR","LINCOLN MT, BRITISH COLUMBIA CAN","3008","IMPOUNDMENT","23271.1","188.18","38.4","308.81","271","98","173","4.1","0.045","0.044","0.1","0.3","1835",NA,NA,"24755","28590","9120",NA,NA,"408850","415970","228840",NA,NA,"3725205",NA,"-19.89"
"079","MONTANA","MARY RONAN LAKE","LAKE","3007","NATURAL",NA,"76.8","6.15","8.5","0.11","68","103","3.3","0.02","0.006","0.04","0.52",NA,NA,"15","1105","1120",NA,NA,"535","16840",NA,"490","56","0.18","8520","51","2.8"
"080","MONTANA","LAKE MCDONALD","FLATMEAD","3008","NATURAL","443.9","32.63","45.7","14.957","3.2","54","6","7.9","0.006","0.002","0.18","0.37","135",NA,"70","9295","9500","400",NA,"2635","437040","440075","5035","47","0.29","364395","17","13.5"
"081","MONTANA","NELSON RESERVOIR","PHILLIPS","3009","IMPOUNDMENT",NA,"10.45","5.7","2.29","1","175","502","1.1","0.029","0.007","0.075","0.555",NA,NA,"15","7620","7635",NA,NA,"535","154095","155430","1340","2","0.41","1395","40","0.4"
"082","MONTANA","SEELEY LAKE IMESO","MISSOULA","3010","NATURAL","370.4","3.49","10.3","5.001","127","47","60","3.5","0.015","0.01","0.04","0.225",NA,NA,"40","3340","3300",NA,NA,"1490","74575","76065","2105","30","0.97","115975",NA,"21"
"083","MONTANA","SHAN LAKE","LAKE","3011","NATURAL","1737.9","10.85","21.9","34.338","85","85","124","5.5","0.01","0.004","0.05","0.23",NA,NA,"55","16910","16965",NA,NA,"1990","768200","770190","9885","42","1.56","894800",NA,"71"
"084","MONTANA","TALLY LAKE","FLATHEAD","3012","NATURAL","527.1","5.37","68.9","4.25","2.8","94","109","4.1","0.011","0.004","50",NA,NA,NA,NA,"2130","2730",NA,NA,"80","186530",NA,"2035",NA,"25","170390",NA,"34.4"
"085","MONTANA","TIBER RESERVOIR","LI8ERTY TOOLE","3013","IMPOUNDMENT","12780.9","50.59","15.3","28.17","318","133","402","1.3","0.018","0.004","0.18","0.43","4390",NA,NA,"27735","32125","18755",NA,"70","1730285","1749110","13855","57","0.84","740580","58","34.8"
"086","MONTANA","TONGUE RIVER RESERVOIR","BIG HORN","3014","IMPOUNDMENT","4584.3","14.15","6.1","14.15","78","199","541","0.7","0.051","0.008","0.05","0.62","14775",NA,NA,"118755","133530","50200",NA,NA,"610205","660405","16490","88","9.44","618385","6","46.7"
"087","MONTANA","MHITEFISH LAKE","FLATHEAD","3016","NATURAL","325.8","13.56","32.9","5.57","2.5","87","106","5.3","0.008","0.003","0.04","0.22",NA,NA,"55","5800","5855",NA,NA,"2145","157215","159360","2580","56","0.43","87710","45","11.8"
"089","NEVADA","LAKE MEAD","CLARK NY; MOHAVE Az","3201","IMPOUNDMENT","434601.8","592.88","59.1","377.34","3.5","136","815","5.9","0.016","0.005","0.34","0.55","322055",NA,NA,"10","3370770","961520",NA,"375","25918510","26880405","247325","93","6.23","11996385","55","45.3"
"090","NEVADA","RYE PATCH RESERVOIR","PERSHING","3204","IMPOUNDMENT","41699","46.14","4.6","7.17","1.2","349","736","0","0.095","0.039","0.05","0.62",NA,NA,NA,"54495",NA,NA,NA,NA,"291585",NA,"27770","49","1.18","201970","31","6.3"
"091","NEVADA","LAKE TAHOE","CARSON CITY DOUGLAS RASMOE Nv; EL OORADO PLACER CA","3205","NATURAL","1307.9","501.02","307","17.05","477","46","76","12","0.005","0.003","0.04","0.22",NA,NA,NA,"20675","20675",NA,NA,NA,"831030","831030","3440","3","0.04","76305","91","1.7"
"093","NEVADA","TOPAZ LAKE","DOUGLAS Nv; MONO CA","3206","NATURAL","1080","9.71","15.8","6.81","264","74","99","3.1","0.058","0.042","0.16","0.44",NA,NA,NA,"13180","13180",NA,NA,"10","125860","125870","6195","53","1.36","195470",NA,"13"
"094","NEVADA","UPPER PAHRANAGAT","LINCOLN","3207","IMPOUNDMENT","6845.4","0.97","0.6","0.26","57","605","775","0","0.173","0.026","0.125","0.6",NA,NA,NA,"1265","1265",NA,NA,NA,"11295","11295","360","72","1.3","5525","51","11.6"
"095","NEVADA","WALKER LAKE","MINERAL","3211","NATURAL",NA,"153.73","24.1",NA,NA,"3760","7094","2.4","0.601","0.574","0.08","2.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"097","NEVADA","WILD HORSE RESERVOIR","ELKO","3209","IMPOUNDMENT","541.3","12.14","7.3","1.21","2.4","76","100","0.3","0.114","0.065","0.32","0.92",NA,NA,NA,"7985","7985",NA,NA,NA,"133465","133465","10415",NA,"0.66","61640","54","11"
"098","NEVADA","MILSON RESERVOIR","ELKO","3210","IMPOUNDMENT","240.9","3.35","3.9","0.27","5.1","72","96","7.7","0.049","0.016","0.12","0.52",NA,NA,NA,"100","700",NA,NA,"10","10510",NA,"700","0","0.21","15490",NA,"3.1"
"099","NEW MEXICO","ALAMOGORDO RESERVOIR","DE RACA GUADALUPE","3501","IMPOUNDMENT","11370.1","13.49","3.1","2.77","1.7","108","1959","0.8","0.025","0.003","0.05","0.32","2625",NA,"20","25415","28060","9920",NA,"800","106885","117605","3580","87","1.52","68495","42","6.4"
"101","NEW MEXICO","CONCHAS RESERVOIR","SAN MIGUEL","3503","IMPOUNDMENT","19189.3","38.83","11.8","4.76","3","152","751","1.2",NA,"0.02","0.004","0.04",NA,NA,"40","11410","11450",NA,NA,"1520","179890","181410","690",NA,"0.29","624795",NA,"4.7"
"102","NEW MEXICO","EAGLE NEST LAKE","COLFAX","3504","IMPOUNDMENT","432.5","9.82","9.9","0.58","5.3","149","275","1.1","0.181","0.132","0.07","0.52",NA,NA,NA,"2630","2630",NA,NA,"65","43210",NA,"3120",NA,"0.27","32270","24","4.3"
"103","NEW MEXICO","ELEPHANT BUTTE RESERVOIR","SIERRA SOCORRO","3505","IMPOUNDMENT","76275.4","148.05","18.3","38.31","2.2","133","600","0.6","0.083","0.052","0.11","0.44","540360",NA,"5","2028905","2569270","1440480",NA,"150","5804095","7244725","83595","97","17.35","1141900","84","48.9"
"104","NEW MEXICO","EL VADO RESERVOIR","R10 ARRIDA","3505","IMPOUNDMENT","2012.4","13.07","10.3","0.53","325","0","170","0","0.034","0.014","0.14","0.42","1375",NA,"5","33540","34920","3000",NA,"115","251075","254990","15205","53","2.57","259515",NA,"19.5"
"105","NEW MEXICO","LAKE MCMILLAN","EDDY","3507","IMPOUNDMENT","44004.1","23.05","2.1","6.95","1","104","3990","0.3","0.097","0.009","0.045","0.47","13610",NA,NA,"10625","24235","40010",NA,NA,"430120","470930","16060","30","1.05","641260",NA,"20.4"
"106","NEW MEXICO","UTE RESERVOIR","OUAY","3509","IMPOUNDMENT","28852.6","16.79","8","3.02","1.4","274","843","1.3","0.021","0.004","0.04","0.42",NA,NA,NA,"11225","11225",NA,NA,NA,"61230",NA,"1095","90","0.67","184455",NA,NA
"107","OREGON","DRORNLEE RESERVOIR","RAKER OR, MASMINGTON ID","4101","IMPOUNDMENT","188033.9","56.66","31.6","535.556","39","137","309","1.5","0.079","0.043","0.55","0.91","4550","50570","990","1590725","1945535","51170",NA,NA,"30973275",NA,"1023210","47","34.35","15215755","97","11155.4"
"109","OREGON","DIAMOND LAKE","DOUGLAS","4102","NATURAL",NA,"13","6.9",NA,NA,"22","25","5.2","0.023","0.011","0.04","0.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","OREGON","HELLS CANYON RESERVOIR","BAKER NALLONA 0R, ADAMS IDAHO ID","4103","IMPOUNDMENT","189846.9","10.12","20.4","553.95","4","138","263","1.8","0.068","0.045","0.64","0.83",NA,NA,NA,"25888790","25888790",NA,NA,NA,NA,NA,"21630255","16","2558.2",NA,NA,NA
"111","OREGON","RILLS CREEK RESERVOIR","LANE",NA,"IMPOUNDMENT","1007.5","11.07","39.2","33.04","152","25","35","1","0.03","0.027","0","0.23",NA,NA,NA,"40540","40540",NA,NA,"300","201335","201365","30130","11","3","250375",NA,"10.2"
"112","OREGON","LAKE OMYHEE","HALHEUR","4105","IMPOUNDMENT","28904.4","56.25","24.6","27.18","1.7","83","150","0.5","0.095","0.064","0.425","0.78",NA,NA,"30","99555","99585",NA,NA,"1065","1098735","1099800","101020",NA,"1.77","1017855","7","19.6"
"113","OREGON","OXBOH RESERVOIR",NA,"4106","IMPOUNDMENT","188810.9","5.66","11.4","532.66","1","131","265","1.9","0.071","0.04","0.69","0.91",NA,NA,NA,"1038645","1038645",NA,NA,NA,"18480225","18480225","895060","14","183.51","25222530",NA,"3265.1"
"115","OREGON","HALDO LAKE","LANE","4108","NATURAL",NA,"26.7",NA,NA,"21.2","10","3","15.2","0.005","0.006","0.04","0.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","UTAH",NA,"RICH UTi BEAR LAKE ID","4901","NATURAL","1030.8","171.59","10.2","2.546","21.9","374",NA,"6.3","0.011","0.003","0.04","0.22",NA,NA,"95","14645","14740",NA,NA,"3515","467505","471020","4925","67","0.09","124190","74","2.7"
"117","UTAH","DEER CREEK RESERVOIR","VASATCR","4903","IMPOUNDMENT","1450.4","9.66","19.9","10.676","211","142","303","1.8","0.038","0.006","0.215","0.585","7360","4195",NA,"12295","23850","29710","47000",NA,"234645",NA,"15605","35","2.47","242720","22","32.2"
"118","UTAH","ECHO RESERVOIR","SUMMIT","4904","IMPOUNDMENT","1895.9","5.95","15.3","7.687","134","172","333","1.3","0.047","0.012","0.17","0.46","3785",NA,NA,"11115","14900","10495",NA,NA,"306120",NA,"10165","32","2.5","178965","43","53.2"
"119","UTAH","FISH LAKE","SEVIER",NA,"NATURAL","57","10.12","25.9","0.143","58.5","53","87","8.8","0.023","0.004","0.04","0.42",NA,NA,"40","455","495",NA,NA,"1455","13490","14945","210","50","0.05","3925",NA,NA
"120","UTAH","HUNTINGTON LAKE","EMERY",NA,"NATURAL",NA,"0.93","5.2",NA,NA,"161","394","2.7","0.013","0.005","0.04","0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","UTAH","JOES VALLEY RESERVOIR ~","EMERY","4908","IMPOUNDMENT","378.1","4.74","16.3","2.838","316","195","273","2.5","0.012",NA,"0.003","0.045",NA,NA,NA,"3335","3335",NA,NA,NA,"82995","82995","2310","31","0.7","87240",NA,"4"
"122","UTAH","LOWER ROHNS RESERVOIR","GARFIELD",NA,"IMPOUNDMENT",NA,NA,"0.1",NA,NA,"70","120","4.2","0.031","0.006","0.04","0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","UTAH","LYNN RESERVOIR","BOX ELDER","4905","IMPOUNDMENT",NA,NA,NA,NA,NA,"144","318","2.1","0.121","0.052","0.2","0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","UTAH","MINERSVILLE RESERVOIR","BEAVER","4909","IMPOUNDMENT","1320.9","4.01","5.6","1.037","266","284","550","1.4","0.192","0.107","0.06","1.07","1020","2435",NA,NA,NA,"2400","23585","35","15970","41990","4450","23","1.45","36375","13","10.5"
"125","UTAH","MOON LAKE","DUCHESNE","4910","NATURAL","290.1","3.12","14.1","3.826","140","10","17","3","0.008","0.002","0.04","0.32",NA,NA,NA,"1630","1630",NA,NA,NA,"145445","145445","1610",NA,"0.52","65495","55","46.6"
"126","UTAH","NAVAJO LAKE","KANE","4911","NATURAL",NA,"2.5","3.7",NA,NA,"67","99","3.3","0.016","0.003","0.04","0.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","UTAH","NERCASTLE RESERVOIR","IRON","4912","IMPOUNDMENT",NA,"0.66","7.2",NA,"9969661","195","573","1.8","0.051","0.009","0.04","0.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","UTAH","OTTER CREEK RESERVOIR","PIUTE","4913","IMPOUNDMENT","984.2","10.2","6.3","1.613","1.4","187","365","1.2","0.067","0.033","0.04","0.42",NA,NA,NA,NA,"6415",NA,NA,NA,"91475",NA,"4305","33","0.63","54970","40","9"
