"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"037","FLORIDA","LAKE ELOISE","POLK","1252","NATURAL","14",NA,"4.69",NA,"0.05","82",NA,"390","0.9",NA,NA,"0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"900",NA,NA,NA,NA
"038","FLORIDA","LAME GEORGE","PUTNAMVOLUSIA","1210","NATURAL","9733.4","136.16","3","110.61","53",NA,NA,"1150","0.3","0.129","0.063","0.165","14100",NA,"45","610725","624370","35200",NA,"1665","12633920","12675735","561005","10","3.36","6365460",NA,"46"
"039","FLORIDA","LAAE GIBSON","POLK","1211","NATURAL","11.2","1.92","2","0.03","1.7","13","153","0.3","0.167","0.069","0.115","1.25","575",NA,NA,"1090","1665",NA,"1730",NA,"75","6235","420","75","0.37","3970","51","4.2"
"040","FLORIDA","GLENADA LAKE","HIGHLANDS","1212","NATURAL",NA,"0.72","4.5",NA,NA,"15","112","1.2","0.134","0.072","0.165","1.305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"042","FLORIDA","LANE HAINES","POLK","1215","NATURAL","21.2","2.9","2.5","0.08","2.9",NA,"210","0.9","0.063","0.014","0.115","1.09",NA,NA,NA,"460","1980",NA,NA,"255","42670","45155","165","92","0.68","4080","91","15.6"
"043","FLORIDA","MORSESMOE LAKE","SEMINOLE","1219","NATURAL",NA,NA,"0.33","1.2",NA,"10",NA,NA,NA,NA,"0.023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"044","FLORIDA","LAKE HOUELL","SEMINOLE",NA,NA,NA,"71.7","1.6","2.5","1.53",NA,"250","0.9","1.26","1.175","0.235","1.745","35660",NA,"15","57935","93610","106945",NA,"510","76145","133600","66375","29","53.51","97470","47","114.3"
"045","FLORIDA",NA,"HIGHLANDS",NA,"NATURAL",NA,NA,"1.8","15.03","155","10","120",NA,"0.9",NA,"0.01",NA,"2520",NA,"45",NA,"33615","4915",NA,NA,NA,"588835","25570","24","0.3","567575","5","5.3"
"046","FLORIDA","LAKE JESSIE",NA,"1258","NATURAL",NA,"0.77","2","0.11","162","42","198","1.2","0.051","0.011","0.09","0.89","40",NA,NA,"2460","2500","125",NA,NA,"7140","7265",NA,"160.9","94","2990.4","59","9.4"
"048","FLORIDA","LAKE KISSIMMEE","OSCEOLA","1224","NATURAL","4149.2","141.4","1","33.4","0","19","110","0.9","0.034","0.007","0.145","1.515",NA,NA,"5","63760","63765",NA,NA,"100","1055550","1855730","36065","42","0.45","1470035","20","13.1"
