pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading,,
96,MINNESOTA,BADGER LAKE,POLK,2704,NATURAL,88.53,1.43,1.2,0.2,108,160,460,2,0.022,0.013,0.13,NA,649,NA,NA,259,907,1941,NA,NA,13202,15143,948,NA,0.63,15098,0,10.6,,
97,MINNESOTA,BARTLETT LAKE,KOOCHICHING,2705,NATURAL,8.81,1.23,2.6,0.1,1.9,113,248,0.5,0.136,0.028,0.355,NA,399,NA,NA,59,458,1193,NA,NA,2971,4163,195,57,0.37,3383,19,3.4,,
98,MINNESOTA,BEAR LAKE,FREEBORN,2706,NATURAL,NA,5.56,0.7,NA,NA,121,420,0.7,0.176,0.048,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
99,MINNESOTA,BIG LAKE,STEARNS,2708,NATURAL,NA,1.63,3.6,NA,NA,164,343,1.8,0.022,0.012,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
100,MINNESOTA,BIG STONE,BIG STONE (MN); ROBERTS GRANT (SD),2709,NATURAL,3004.4,51.03,3.4,3.3,1.7,131,800,1,0.159,0.126,0.335,NA,7696,23,213,8014,15946,22599,NA,8036,188812,219447,15846,1,0.31,214068,2,4.3,,
101,MINNESOTA,BIRCH LAKE,CASS,2710,NATURAL,NA,5.19,3,NA,NA,106,210,2.4,0.019,0.009,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
102,MINNESOTA,BLACKDUCK LAKE,BELTRAMI,2711,NATURAL,75.11,11.1,4.5,0.4,4.2,128,243,1.7,0.038,0.019,0.195,NA,676,NA,NA,916,1592,2023,NA,NA,27329,29351,717,55,0.14,16091,45,2.6,,
103,MINNESOTA,BLACKHOOF LAKE,CROW WING,2712,NATURAL,20.72,0.74,4.4,0.1,257,103,230,1.6,0.043,0.024,0.185,NA,639,NA,9,254,902,1914,NA,268,6522,8703,141,84,1.22,5075,42,11.8,,
104,MINNESOTA,BUFFALO LAKE,WRIGHT,2713,NATURAL,113.96,6.11,4.4,0.6,1.4,167,395,1,0.209,0.16,0.795,NA,4821,NA,23,1129,5973,10086,NA,853,18000,28939,3950,34,0.98,51429,NA,4.7,,
105,MINNESOTA,CARRIGAN LAKE,WRIGHT,2714,NATURAL,NA,0.66,NA,NA,NA,185,590,0.3,1.215,0.785,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
