pagenum,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn,p_pnt_source_muni,p_pnt_source_industrial,p_pnt_source_septic,p_nonpnt_source,p_total,n_pnt_source_muni,n_pnt_source_industrial,n_pnt_source_septic,n_nonpnt_source,n_total,p_total_out,p_percent_retention,p_surface_area_loading,n_total_out,n_percent_retention,n_surface_area_loading
36,IOWA,CLEAR LAKE,CERRO GORDO,1904,NATURAL,NA,14.14,3,NA,NA,155,272,0.9,0.059,0.01,0.07,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,IOWA,LOST ISLAND LAKE,CLAYoPALO ALTO,1906,NATURAL,NA,5.1,3,NA,NA,178,303,2,0.146,0.021,0.065,2.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,IOWA,LAKE MACBRIDE,JOHNSON,1907,IMPOUNDMENT,69.9,3.84,7.3,0.41,2.2,125,253,1.1,0.001,0.01,2.035,2.595,1075,NA,NA,1510,2585,3230,NA,NA,61650,64880,725,72,0.07,23590,56,16.9
39,IOWA,PRAIRIE ROSE LAKE,SHELRY,1908,IMPOUNDMENT,20.4,0.88,3.3,0.08,1.2,166,287,0.9,0.056,0.01,0.21,1.26,NA,NA,NA,635,635,NA,NA,NA,14090,14090,170,73,0.72,4705,67,16
40,IOWA,RATHBUN RESERVOIR,APPANOOSELUCASM0NR0EHAYNE,1909,IMPOUNDMENT,1421.9,44.52,0.7,9.05,1,90,232,0.6,0.071,0.008,1.17,1.705,9535,NA,10,99310,100055,23705,NA,425,74900,99170,19290,2,2.45,546945,39,20.2
41,IOWA,RED ROCK RESERVOIR,MARION,1910,IMPOUNDMENT,31916.6,36.22,3,126.14,10,254,572,0.7,0.16,0.104,1.88,2.86,NA,NA,NA,2070570,2497730,1159805,NA,NA,28901345,30061150,978530,61,68.96,22386480,26,830
42,IOWA,ROCK CREEK LAKE,NA,1911,IMPOUNDMENT,107.2,2.6,2.7,0.57,143,169,333,0.5,0.065,0.007,1.4,2.43,NA,NA,NA,8125,8125,NA,NA,NA,93420,92420,1450,82,3.12,70375,24,35.5
43,IOWA,SILVER LAKE,HORTH,1912,NATURAL,8.2,1.29,NA,0.04,1.2,110,159,0.4,0.193,0.034,0.565,0.39,NA,NA,NA,315,315,NA,NA,NA,NA,6990,200,37,0.24,5495,NA,3.9
44,IOWA,SPIRIT LAKE,DICKINSON,1913,NATURAL,NA,23,5.5,NA,NA,184,368,2,0.041,0.007,0.09,1.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,IOWA,VIKING LAKE,MONTGOMERY,1914,IMPOUNDMENT,10.3,0.61,5.8,0.07,1.6,120,219,1,0.075,0.011,0.13,1.07,NA,NA,NA,300,300,NA,NA,NA,NA,NA,170,43,0.49,2785,37,7.2
46,IOWA,WEST OKOBOJI LAKE,DICKINSON,1915,NATURAL,NA,14.93,NA,NA,NA,219,306,3,0.046,0.017,0.06,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,KANSAS,CEDAR BLUFF RESERVOIR,TREGO,2001,IMPOUNDMENT,14322.7,26.86,8.5,2.7,0.3,119,965,1.1,0.017,0.006,0.055,0.535,NA,NA,5,NA,NA,NA,NA,205,NA,157765,2090,53,0.17,73875,53,509
48,KANSAS,COUNCIL GROVE RESERVOIR,MORRIS,2002,IMPOUNDMENT,647.5,13.27,3.9,3.224,218,155,282,0.4,0.069,0.028,0.83,1.245,585,NA,NA,26885,27470,1760,NA,NA,449340,NA,9010,67,2.07,165745,63,34
49,KANSAS,ELK CITY RESERVOIR,MONTGOMERY,2003,IMPOUNDMENT,1642.1,17.81,2.4,11.46,45,123,269,0.2,0.03,0.003,0.59,0.87,2410,NA,NA,37280,39690,7230,NA,NA,546230,553460,21940,45,2.23,405870,27,31.1
50,KANSAS,FALL RIVER RESERVOIR,GREENHOOD,2004,IMPOUNDMENT,1515.1,10.52,3,10.27,40,137,363,0.3,0.053,0.016,0.47,0.65,4120,NA,5,15250,19375,12350,NA,215,489805,502370,24695,NA,1.84,562230,NA,67.8
51,KANSAS,JOHN REDMOND RESERVOIR,COFFEY LYON,2005,IMPOUNDMENT,7808.8,38.04,2,40.39,23,159,333,0.2,0.118,0.066,1.25,1.81,84550,NA,NA,265305,349855,229025,NA,NA,3693215,3922240,199875,43,9.2,2480455,37,103.1
52,KANSAS,KANOPOLIS RESERVOIR,ELLSUORIH,2006,IMPOUNDMENT,20349.6,14.37,4.5,9.622,120,149,1068,0.3,0.056,0.011,0.64,1.21,4665,NA,15,90740,95620,15205,NA,495,623495,639195,21020,78,6.65,496560,22,44.5
